Cáparra	Point(-6.10097222 40.16658333)
Pembes	Point(-4.746944444 43.129722222)
Pendes	Point(-4.608888888 43.204166666)
Penilla	Point(-3.899722222 43.098333333)
Penilla	Point(-3.945 43.286111111)
Periedo	Point(-4.181666666 43.328333333)
Peroblasco	Point(-2.257605 42.198838)
Peroblasco	Point(-2.2575 42.198888888)
Perrozo	Point(-4.5475 43.116944444)
Perín	Point(-1.119736599 37.621789079)
Pesquera de Ebro	Point(-3.720277777 42.801944444)
Peñahorada	Point(-3.645277777 42.498611111)
Peñalba de Manzanedo	Point(-3.718888888 42.908888888)
Peñaloscintos	Point(-2.681111111 42.172222222)
Peñarrubias de Pirón	Point(-4.086666666 41.098333333)
Peñuelas	Point(-3.856388888 37.174444444)
Piasca	Point(-4.5825 43.12)
Pie de Concha	Point(-4.064444444 43.123333333)
Piedrahita de Muñó	Point(-3.308316666 42.075935833)
Pilas de Algaida	Point(-4.098888888 36.959166666)
Pinares de Lepe	Point(-7.207777777 37.220555555)
Pinedillo	Point(-3.885833333 42.0025)
Pinilla-Ambroz	Point(-4.353772222 41.052580555)
Pinillos de Esgueva	Point(-3.836388888 41.8225)
Pinos del Valle	Point(-3.553888888 36.911666666)
Pisueña	Point(-3.766944444 43.191666666)
Pitres	Point(-3.325555555 36.936111111)
Piñeres	Point(-4.559722222 43.243888888)
Piñuécar	Point(-3.599122222 41.032955555)
Playa Granada	Point(-3.545277777 36.718055555)
Playa de Los Narejos	Point(-0.842111111 37.758277777)
Población de Suso	Point(-4.239722222 42.9875)
Pobladura de Sotiedra	Point(-5.283333333 41.653055555)
Pollayo	Point(-4.663333333 43.0875)
Poloria	Point(-3.558888888 37.453333333)
Polvoredo	Point(-5.096666666 43.054444444)
Pomar de Cinca	Point(0.128333333 41.852222222)
Pontejos	Point(-3.798888888 43.4075)
Pontones	Point(-3.683055555 43.423055555)
Porcieda	Point(-4.615833333 43.129722222)
Porciones	Point(-6.66666667 40.05)
Portilla, Burgos	Point(-3.080872222 42.740772222)
Portmán	Point(-0.85 37.58333333)
Portobravo	Point(-8.86527778 42.78536111)
Posadilla de la Vega	Point(-5.944033333 42.400802777)
Posadillo	Point(-4.152222222 43.362222222)
Posajo Penías	Point(-4.0543036 43.2641728)
Pozancos	Point(-2.659722222 41.111944444)
Pozo Estrecho	Point(-0.99317755 37.71231826)
Islantilla	Point(-7.236788888 37.2067)
Pozo La Muela	Point(-0.693641 40.0963)
Pozo de la Serna	Point(-3.232713888 38.775925)
Pozo del Camino	Point(-7.315 37.224444444)
Pozo del Capitán	Point(-2.117777777 36.903055555)
Pozos	Point(-6.327069444 42.280202777)
Pozoseco	Point(-1.971111111 39.495)
Prada de la Sierra	Point(-6.380833333 42.451111111)
Pradollano	Point(-3.4 37.093888888)
Praves	Point(-3.599444444 43.4125)
Prellezo	Point(-4.4475 43.386388888)
Presillas Bajas	Point(-2.091944444 36.814444444)
Priaranza de la Valduerna	Point(-6.2 42.333333333)
Proaño	Point(-4.246033333 43.029794444)
Prádanos del Tozo	Point(-3.956240555 42.697061388)
Prío	Point(-4.496388888 43.366111111)
Pueblo Nuevo de Guadiaro	Point(-5.3025 36.29388889)
Puebloblanco	Point(-2.132222222 36.911111111)
Puente Agüero	Point(-3.715 43.405277777)
Puente Almuhey	Point(-4.971944444 42.786388888)
Puente Arriba	Point(-2.681666666 37.653055555)
Puente Avíos	Point(-4.074444444 43.406666666)
Puente Duero	Point(-4.7925 41.551388888)
Puente El Arrudo	Point(-4.47026 43.3078)
Puente Pumar	Point(-4.403055555 43.109722222)
Puente San Miguel	Point(-4.088055555 43.360277777)
Puente Villarente	Point(-5.457222222 42.545833333)
Puente de Alba	Point(-5.629166666 42.82)
Puentetoma	Point(-4.169722222 42.746111111)
Puentezuela	Point(-2.779722222 37.806944444)
Puercas	Point(-6.12154167 41.75027778)
Puerto Adentro	Point(-1.735 37.579166666)
Puerto de Alcudia	Point(3.13291 39.84182)
Puigmoreno	Point(-0.250029 41.10781097)
Pujayo	Point(-4.085555555 43.125833333)
Pulianillas	Point(-3.604722222 37.218888888)
Pumalverde	Point(-4.246388888 43.338888888)
Pumareña	Point(-4.581888888 43.1835)
Punta del Moral	Point(-7.33878 37.1821)
Puras de Villafranca	Point(-3.23333333 42.38333333)
Purchil	Point(-3.665277777 37.172222222)
Páramo del Arroyo	Point(-3.775507 42.387923)
Pío de Sajambre	Point(-5.049119444 43.123241666)
Pórtol	Point(2.773611111 39.616944444)
Queveda	Point(-4.070277777 43.379166666)
Quijas	Point(-4.132222222 43.350277777)
Quilós	Point(-6.7225 42.632222222)
Quincoces de Yuso	Point(-3.2521263 42.991174)
Quintana	Point(-4.680277777 43.155)
Quintana	Point(-3.552777777 43.183333333)
Quintana-Entrepeñas	Point(-3.324113888 42.881663888)
Quintana de Toranzo	Point(-3.981388888 43.234444444)
Quintana del Pino	Point(-3.816388888 42.616666666)
Quintanadueñas	Point(-3.734722222 42.385)
Quintanalacuesta	Point(-3.495777777 42.867166666)
Quintanalara	Point(-3.534083333 42.174388888)
Quintanaloranco	Point(-3.22 42.496666666)
Quintanamacé	Point(-3.412341666 42.930361388)
Quintanamanvirgo	Point(-3.95 41.75)
Quintanarruz	Point(-3.591388888 42.566388888)
Quintanas	Point(-4.121273333 42.717849722)
Quintanas de Hormiguera	Point(-4.152222222 42.861388888)
Quintanaseca	Point(-3.3245716 42.7707568)
Quintanatello de Ojeda	Point(-4.457222222 42.733888888)
Quintanilla-Colina	Point(-3.722666666 42.837694444)
Quintanilla-Montecabezas	Point(-3.291823055 42.870251111)
Quintanilla-Pedro Abarca	Point(-3.814166666 42.565833333)
Quintanilla-Riopico	Point(-3.568121666 42.354839166)
Quintanilla-Sobresierra	Point(-3.713333333 42.571944444)
Villapaderne	Point(-4.071666666 43.021388888)
Villaparte	Point(-3.416666666 43.306944444)
Villapeceñil	Point(-5.026444444 42.410569444)
Villapresente	Point(-4.104166666 43.364444444)
Villar	Point(-5.0575 37.634444444)
Villar	Point(-4.263655555 43.019177777)
Villar	Point(-3.5275096 43.1773808)
Villar de Ciervos	Point(-6.305 42.441944444)
Villar de Sobrepeña	Point(-3.8 41.28333333)
Villar de los Pisones	Point(-6.51086 42.0726)
Villarejo de Medina	Point(-2.33694 40.9522)
Villargordo	Point(-6.327777777 41.080555555)
Villarmeriel	Point(-6.021441666 42.680241666)
Villarmero	Point(-3.715331388 42.395065277)
Villarrabines	Point(-5.567277777 42.190722222)
Villarrodrigo de las Regueras	Point(-5.533888888 42.635)
Villaseca	Point(-3.825930555 41.316208333)
Villasinta de Torío	Point(-5.552777777 42.663611111)
Villasur	Point(-4.698611111 42.581388888)
Villasuso de Cieza	Point(-4.110405555 43.220811111)
Villate	Point(-3.381126666 42.963455833)
Villatomil	Point(-3.445993333 42.963150833)
Villatoquite	Point(-4.7775 42.207777777)
Villavedón	Point(-4.100305555 42.592777777)
Villavega de Ojeda	Point(-4.429444444 42.685277777)
Villavente	Point(-5.507777777 42.618055555)
Villaverde	Point(-3.556944444 43.190277777)
Villaverde	Point(-4.681388888 43.081666666)
Villaverde Peñahorada	Point(-3.670277777 42.464166666)
Villaverde de Hito	Point(-3.865277777 42.843888888)
Villaverde de Pontones	Point(-3.695555555 43.413055555)
Villaviad	Point(-3.378333333 43.385)
Villavidel	Point(-5.541230555 42.440163888)
Villavieja del Cerro	Point(-5.0375 41.532222222)
Villayuso de Cieza	Point(-4.087222222 43.221388888)
Villegar	Point(-3.9475 43.223888888)
Villemar	Point(-4.926944444 42.315555555)
Villimer	Point(-5.413055555 42.581388888)
Villorejo	Point(-3.924444444 42.431388888)
Villota del Duque	Point(-4.603055555 42.491111111)
Villovela de Esgueva	Point(-3.972777777 41.814722222)
Villusto	Point(-4.060444444 42.562833333)
Vime de Sanabria	Point(-6.545597222 42.069008333)
Vioño de Piélagos	Point(-3.968611111 43.362777777)
Vispieres	Point(-4.099722222 43.372777777)
Viveda	Point(-4.059722222 43.378055555)
Vizmalo	Point(-4.100277777 42.165833333)
Viérgol	Point(-3.2102276 43.1292199)
Viérnoles	Point(-4.055513888 43.319227777)
Viñón	Point(-4.639166666 43.185833333)
Vozpornoche	Point(-3.8925 43.137777777)
Yera	Point(-3.758333333 43.139444444)
Yermo	Point(-4.0825 43.306388888)
Yátor	Point(-3.136388888 36.957222222)
Zafrón	Point(-6.0225 41.033888888)
Zaldierna	Point(-3.025833333 42.281388888)
Zalea	Point(-4.747222222 36.766666666)
Zamarramala	Point(-4.134722222 40.965833333)
Zambroncinos del Páramo	Point(-5.739166666 42.295555555)
Zorita de los Molinos	Point(-4.699166666 40.768611111)
Zorita del Páramo	Point(-4.359166666 42.603055555)
Zuares del Páramo	Point(-5.683888888 42.327777777)
Zuasti	Point(-1.74527778 42.85416667)
Zujaira	Point(-3.805277777 37.255833333)
Zumel	Point(-3.813333333 42.448611111)
Zurbarán	Point(-5.722777777 39.066111111)
Ácula	Point(-3.806944444 37.084444444)
Águeda	Point(-6.499722222 40.561944444)
Áliva	Point(-4.775125 43.16784444)
Ízbor	Point(-3.526666666 36.895)
Íñigo	Point(-5.900277777 40.666944444)
Íñigo Blasco	Point(-5.467777777 40.5875)
Úrcal	Point(-1.92044 37.46712)
Areños	Point(-4.726388888 43.108888888)
Areños	Point(-4.489166666 42.9925)
Arroyofrío	Point(-1.48221111 40.23236389)
Ayoluengo de la Lora	Point(-3.866111111 42.748055555)
Boo de Piélagos	Point(-3.944166666 43.430833333)
Brimeda	Point(-6.066388888 42.488333333)
Bárcena de Carriedo	Point(-3.825833333 43.244166666)
Báscones de Valdivia	Point(-4.184722222 42.765833333)
Cabrojo	Point(-4.398611111 43.254722222)
Campillo	Point(-3.760833333 43.206111111)
Campillo	Point(-1.695076859 37.657598946)
Campohermoso	Point(-5.430133333 42.856580555)
Capilerilla	Point(-3.328888888 36.940277777)
Carbajal de Fuentes	Point(-5.458055555 42.181944444)
Carbajal de Fuentes	Point(-5.45806 42.18263)
Carbajal de Rueda	Point(-5.186041666 42.694319444)
Cañadas de Pareja	Point(-4.529444444 37.177222222)
Cañatabla	Point(-3.492777777 37.488611111)
Cherín	Point(-3.012222222 36.966666666)
Torre de Buira	Point(0.72926 42.386963)
Puerto de Sagunto	Point(-0.273333333 39.676388888)
El Olmo	Point(-3.6622456 41.3026182)
Magaluf	Point(2.535 39.509444444)
Palacio	Point(-4.06813 43.18926)
El Chorro	Point(-4.77166667 36.91527778)
Puerto de Pollensa	Point(3.081388888 39.9075)
Ruitelán	Point(-6.96679115 42.6730807)
Zahara de los Atunes	Point(-5.845833333 36.136111111)
Zariquiegui	Point(-1.722777777 42.7475)
Soto de Valdeón	Point(-4.931122222 43.146272222)
Cordiñanes de Valdeón	Point(-4.9034 43.167288888)
Prada de Valdeón	Point(-4.913655555 43.147313888)
Espinama	Point(-4.786666666 43.128611111)
Fuente Dé	Point(-4.81 43.145555555)
Cala Morlanda	Point(3.372777777 39.560833333)
Cala Santañí	Point(3.145277777 39.331111111)
Calas de Mallorca	Point(3.28055556 39.46583333)
Colonia de San Jorge	Point(2.992777777 39.316666666)
Palomares	Point(-1.798333333 37.249166666)
Liencres	Point(-3.925277777 43.461111111)
Villadecanes	Point(-6.759166666 42.579722222)
Uga	Point(-13.744069444 28.949686111)
San José	Point(-2.109444444 36.757777777)
Palmanova	Point(2.537088888 39.5209)
Peguera	Point(2.44444444 39.5375)
San Andrés	Point(-16.19316111 28.50450556)
Porto Cristo	Point(3.336388888 39.541666666)
San Francisco Javier	Point(1.429166666 38.705555555)
Senegüé	Point(-0.344444444 42.548888888)
Abellada	Point(-0.1975 42.34527778)
El Coscollar	Point(0.048260833 42.312165)
Gavín	Point(-0.297074 42.620065)
Santa Marta de Tera	Point(-5.97125 41.9945)
Gillué	Point(-0.17472222 42.41944444)
Aquilué	Point(-0.489079 42.381158)
Latorre	Point(0.156081833 42.312992833)
Rodén	Point(-0.653808 41.495741)
Antenza	Point(0.55361111 42.06777778)
Rodellar	Point(-0.078623 42.2823)
Laguarres	Point(0.466830555 42.200697222)
Castanesa	Point(0.66183983 42.49798483)
Ipiés	Point(-0.376092 42.441717)
Orna de Gállego	Point(-0.4368 42.451296)
Mondot	Point(0.112434833 42.293571)
Anzánigo	Point(-0.650066 42.402184)
La Faba	Point(-7.009351 42.68547)
La Laguna	Point(-7.02116489 42.70109326)
Riego de Ambrós	Point(-6.479166666 42.521666666)
Riego de Ambrós	Point(-6.479971 42.522315)
Las Herrerías	Point(-6.98064208 42.67088775)
Martés	Point(-0.89151 42.57259)
Santa Ponsa	Point(2.482666666 39.515)
Obéilar	Point(-3.858055555 37.250555555)
Padilla de Duero	Point(-4.163055555 41.612222222)
Puerto Rico	Point(-15.71111 27.78806)
Quijano	Point(-3.956111111 43.369444444)
San Martín del Camino	Point(-5.807777777 42.494722222)
San Sebastián de Garabandal	Point(-4.421944444 43.201111111)
Sotogrande	Point(-5.29 36.278333333)
Secadura	Point(-3.535 43.356944444)
Sodeto	Point(-0.25292222 41.89016944)
Peralta de la Sal	Point(0.385555555 41.9925)
S'Illot	Point(3.371944444 39.569722222)
Valdivia	Point(-5.711111111 39.033611111)
Santa Margarita	Point(-5.339777777 36.206055555)
Villafranco del Guadiana	Point(-6.861111111 38.884722222)
Carrascosa del Campo	Point(-2.736666666 40.036111111)
Roiz	Point(-4.347777777 43.330555555)
Valdelafuente	Point(-5.512777777 42.570555555)
Valparaíso de Abajo	Point(-2.636 40.053)
Villamayor del Río	Point(-3.136666666 42.427777777)
Covanera	Point(-3.8 42.733333333)
Gozón de Ucieza	Point(-4.609722222 42.448333333)
Helechal	Point(-5.365277777 38.672222222)
Heras	Point(-3.763611111 43.396944444)
Hormaza	Point(-3.920555555 42.322222222)
Hoz de Anero	Point(-3.661666666 43.407222222)
Iseca Nueva	Point(-3.368055555 43.382222222)
Jiménez de Jamuz	Point(-5.9303 42.264986111)
La Cotera	Point(-4.418611111 43.273611111)
La Cándana de Curueño	Point(-5.410358333 42.82885)
El Tormillo	Point(-0.030611 41.870316)
La Ribera	Point(-5.213130555 40.494997222)
Linares de La Vid	Point(-3.491111111 41.631944444)
La Zarza de Don Beltrán	Point(-6.41846944 41.17602778)
La Antilla	Point(-7.216666666 37.2)
La Celada	Point(-4.307 37.279)
Las Fraguas	Point(-4.056666666 43.193888888)
Las Ánimas	Point(-2.28333333 38.5)
Lobera de la Vega	Point(-4.729444444 42.499444444)
Los Alejos	Point(-2.23333333 38.5)
Los Chóvales	Point(-2.3 38.53333333)
Los Collados	Point(-2.31666667 38.45)
Los Llares	Point(-4.102777777 43.184444444)
Fraella	Point(-0.283055555 41.95)
Porto Petro	Point(3.21 39.363333333)
Matienzo	Point(-3.582222222 43.313055555)
A Penadauga	Point(-8.322432 42.687663)
A Pereira	Point(-8.26611111 43.36805556)
A Ponte	Point(-6.8936 42.250630555)
A Salgueira	Point(-8.83334444 42.446125)
A Sartaíña	Point(-8.570281 42.998078)
A Touticeira	Point(-8.84656111 42.44086667)
A Valexa	Point(-8.30361111 43.38083333)
A Xesteiriña	Point(-8.82663611 42.41777222)
Abeleda	Point(-7.90611111 42.09388889)
Acalabanda	Point(-8.92079 43.006176)
Agra	Point(-8.27444444 43.37305556)
Aldea Grande, Saídres, Silleda	Point(-8.24291236 42.7334213)
Aldea de Abaixo	Point(-8.23175 42.72411111)
Ameixeiral	Point(-8.28916667 43.35972222)
Arxubide	Point(-8.038671 42.973797)
As Abelairas	Point(-7.604352777 42.458744444)
Cañada Fuente del Pavo	Point(-0.66277778 39.36638889)
Ceadea	Point(-6.27743889 41.69106667)
Cerezal de Aliste	Point(-6.05009 41.5875)
Charo	Point(0.258076 42.39015783)
Cheto	Point(-0.07416667 42.28666667)
Espollá	Point(0.704053 42.41321083)
Cofita	Point(0.258315 42.010052)
Colinas de Trasmonte	Point(-5.809675 42.00371944)
Concilio	Point(-0.744613888 42.304908333)
Coroneles	Point(-4.077222222 42.823333333)
Corumbela	Point(-4.005277777 36.821111111)
Coscullano	Point(-0.2375 42.1939)
Costa d'en Blanes	Point(2.562222222 39.540277777)
Criales	Point(-3.329802777 42.919036111)
Cucayo	Point(-4.637603 43.055797)
Cábrega	Point(-2.2525 42.62138889)
Cerralba	Point(-4.722777777 36.744722222)
Costa de la Calma	Point(2.472222222 39.522222222)
El Puente	Point(-6.640833333 42.084166666)
Domez	Point(-6.14358611 41.71425556)
Ablaña	Point(-5.8058884 43.2671528)
Berganuy	Point(0.68190278 42.25634722)
Doney de la Requejada	Point(-6.532777777 42.080277777)
Ecala	Point(-2.183888888 42.762222222)
Echálaz	Point(-1.5225 42.833888888)
Egulbati	Point(-1.535833333 42.8575)
El Barcenal	Point(-4.385833333 43.342222222)
El Portal	Point(-6.133264257 36.636982736)
El Poyo	Point(-6.40948 41.7847)
El Sabinar	Point(-2.15 38.2)
Elcano	Point(-1.546666666 42.830833333)
Elcarte	Point(-1.706388888 42.869444444)
Elorz	Point(-1.56152 42.73258)
Elorz	Point(-1.560277777 42.733888888)
Elía	Point(-1.516666666 42.841944444)
Elío	Point(-1.808055555 42.793888888)
Embid de la Ribera	Point(-1.5969 41.4231)
Embún	Point(-0.72388889 42.62666667)
Ena	Point(-0.693333333 42.447222222)
Eransus	Point(-1.511111111 42.826944444)
Eripol	Point(0.08132 42.277737)
Escuadro	Point(-6.000622222 41.259869444)
Esparza de Galar	Point(-1.682777777 42.755555555)
Espierba	Point(0.155935833 42.653097833)
Esponzúes	Point(-3.952222222 43.206388888)
Esposa	Point(-0.624184 42.661516)
Espuéndolas	Point(-0.42916667 42.5625)
Estallo	Point(-0.48333333 42.4)
Ezcániz	Point(-1.23166667 42.77972222)
Fadón	Point(-6.00885 41.393)
Farasdués	Point(-1.0952759 42.2237237)
Fañanás	Point(-0.271944444 42.075555555)
Figueruela de Sayago	Point(-5.93582 41.2899)
Flechas	Point(-6.44434167 41.903575)
Florderrey	Point(-7.2575 41.9676)
Fontanillas de Castro	Point(-5.77939 41.7337)
Formigales	Point(0.297173 42.33249683)
Fraginal	Point(-0.660317 42.602082)
Fresnadillo	Point(-6.07483 41.4138)
Fresno de la Carballeda	Point(-6.34838056 41.99879444)
Fuen Vich	Point(-1.05609722 39.352225)
Fuendecampo	Point(0.26524483 42.41272883)
Fuente - Higuera	Point(-2.23333333 38.48333333)
Fuentemilanos	Point(-4.22771944 40.874875)
Galizano	Point(-3.669722222 43.468611111)
Gallegos del Campo	Point(-6.40681 41.8274)
Gamonoso	Point(-4.835833333 39.480277777)
Ganzo	Point(-4.0673063 43.3590566)
Gema de Yeltes	Point(-6.5225 40.975555555)
Godos	Point(-1.1022 40.9113)
Gordún	Point(-1.110595 42.498858)
Gorraiz	Point(-1.577777777 42.822222222)
Gracionépel	Point(-0.451944444 42.565277777)
Guadajira	Point(-6.680277777 38.851944444)
Guasa	Point(-0.511666666 42.569166666)
Gáname	Point(-6.04159 41.4027)
Hondura	Point(-5.9137 40.6421)
Humo de Muro	Point(0.24100683 42.335317)
Ibero	Point(-1.775 42.8025)
Ilanes	Point(-6.660277777 42.086666666)
Isla	Point(-3.567777777 43.493888888)
Izu	Point(-1.79 42.827222222)
Jarlata	Point(-0.434444444 42.533888888)
Junquera de Tera	Point(-6.15898333 42.00104722)
Junzano	Point(-0.128323 42.137886)
Jánovas	Point(-0.0031617 42.4652985)
Cernecina	Point(-5.94290556 41.37075833)
La Concha	Point(-3.852577777 43.372807777)
La Fontañera	Point(-7.319444444 39.381666666)
La Laguna	Point(-4.404444444 43.122222222)
La Paúl	Point(-0.78333333 41.98333333)
La Puente del Valle	Point(-3.983611111 42.795277777)
Unquera	Point(-4.514722222 43.375)
Valparaíso de Arriba	Point(-2.6158 40.0673)
Vegallera	Point(-2.33333 38.55)
Villabandín	Point(-6.137222222 42.859166666)
Villamelendro	Point(-4.572777777 42.5375)
Villoslada	Point(-4.422222222 40.988611111)
Yegen	Point(-3.118888888 36.980833333)
Abay	Point(-0.608611111 42.571111111)
Abraveses de Tera	Point(-5.89409444 41.99201111)
Ael	Point(-3.371430555 42.883539722)
Agrelo	Point(-8.870277777 42.814166666)
Aguas	Point(-0.208305555 42.202194444)
Agüera	Point(-3.4525 43.098611111)
Ahedo de Butrón	Point(-3.683333333 42.838333333)
Aizarna	Point(-2.22527778 43.23472222)
Alastuey	Point(-0.760277777 42.521666666)
Albiz	Point(-2.63777778 43.25944444)
Alcorcillo	Point(-6.376111111 41.718333333)
Aldealbar	Point(-4.354444444 41.494722222)
Aldeanueva de Cameros	Point(-2.618333333 42.145277777)
Alueza	Point(0.279074 42.38541883)
Alzola	Point(-2.40055556 43.23638889)
Alzuza	Point(-1.565833333 42.838888888)
Angustina	Point(-3.709166666 43.3225)
Aniés	Point(-0.5775 42.303333333)
Apózaga	Point(-2.524444444 43.03)
Arascués	Point(-0.462777777 42.244444444)
Arasán	Point(0.510646899 42.524311)
Arazuri	Point(-1.720277777 42.815833333)
Arbaniés	Point(-0.248973 42.1627)
Arbués	Point(-0.78361111 42.50694444)
Arcillera	Point(-6.27744 41.6911)
Ardanaz de Egüés	Point(-1.557222222 42.805833333)
Arenillas de Ebro	Point(-3.908333333 42.818333333)
Arizala	Point(-1.998888888 42.727777777)
Arminza	Point(-2.89678611 43.43198056)
Arraiza	Point(-1.806388888 42.768055555)
Arroyo de la Miel	Point(-4.534722222 36.599166666)
Artaza	Point(-2.10916667 42.77027778)
Artesa	Point(-0.28773056 39.95833889)
Artica	Point(-1.655 42.840277777)
Ascara	Point(-0.652777777 42.569166666)
Ascaso	Point(0.047709 42.479258)
Asieso	Point(-0.562268 42.582213)
Asque	Point(-0.052453055 42.175680833)
Astráin	Point(-1.740555555 42.756666666)
Asín de Broto	Point(-0.129722222 42.533888888)
Atarés	Point(-0.622777777 42.533888888)
Azpa	Point(-1.5225 42.805833333)
Buira	Point(0.72942778 42.39277222)
Añézcar	Point(-1.720833333 42.852222222)
Badostáin	Point(-1.595277777 42.798888888)
Banaguás	Point(-0.58527778 42.57972222)
Bandaliés	Point(-0.297417 42.1633)
Baraguás	Point(-0.48638889 42.57944444)
Bardenas	Point(-1.1998138 42.1768974)
Barluenga	Point(-0.338056 42.2)
Barrio de Lomba	Point(-6.67017 42.0749)
Barrio de Rábano	Point(-6.61977222 42.14954444)
Barros	Point(-4.077444444 43.282888888)
Barués	Point(-1.21168 42.43062)
Belicena	Point(-3.692222222 37.170833333)
Belsué	Point(-0.379508 42.314703)
Benagalbón	Point(-4.245027777 36.73708)
Benajarafe	Point(-4.195833333 36.718055555)
Benimaurell	Point(-0.12638889 38.77306389)
Bentué de Rasal	Point(-0.51666667 42.33333333)
Bercianos de Valverde	Point(-5.94956389 41.93125278)
Bergua	Point(-0.171153833 42.533057833)
Bernués	Point(-0.5856466 42.47798)
Berrioplano	Point(-1.692222222 42.8525)
Berriosuso	Point(-1.668888888 42.851111111)
Bescós de Garcipollera	Point(-0.503894 42.627297)
Bespén	Point(-0.153301833 42.057358833)
Binacua	Point(-0.698611111 42.546666666)
Biniaraix	Point(2.735 39.771111111)
Binué	Point(-0.451388888 42.507222222)
Blecua	Point(-0.187213 42.057248)
Buesa	Point(-0.108333333 42.584722222)
Buetas	Point(0.288124 42.36721383)
Bustillo del Monte	Point(-4.009166666 42.854166666)
Buñales	Point(-0.407777777 42.045555555)
Bárcena de Ebro	Point(-4.036111111 42.852222222)
Cabañas de Aliste	Point(-6.24431 41.8565)
Calzada de Tera	Point(-6.07602 41.9858)
Campo de Ebro	Point(-3.965 42.795555555)
Campodarbe	Point(0.016472222 42.42225)
Caneto	Point(0.258396 42.285947)
Caniás	Point(-0.608333333 42.599722222)
Carbajosa	Point(-6.091944444 41.539444444)
Bibiles	Point(0.672222222 42.424166666)
Cirés	Point(0.70896111 42.41003333)
Urra	Point(-2.091944444 42.772222222)
Carrascal de Cocejón	Point(-3.865 43.092222222)
Cas Català-Ses Illetes	Point(2.595 39.546527777)
Casas de Esper	Point(-0.804444444 42.169722222)
Castell de Ferro	Point(-3.359166666 36.7225)
Castillo Pompién	Point(-0.405939 42.078217)
Castilsabás	Point(-0.305747 42.197382)
San Jorge de Alor	Point(-7.056944444 38.645277777)
Villarreal	Point(-7.213611111 38.725833333)
Carbajales de la Encomienda	Point(-6.415533333 42.089872222)
Carpio-Bernardo	Point(-5.518611111 40.872222222)
Santa Eulalia Somera	Point(-2.195277777 42.211111111)
Santa María de las Lomas	Point(-5.569444444 40.010555555)
Secorún	Point(-0.15 42.4)
Mieses	Point(-4.637777777 43.151111111)
Mompía	Point(-3.918055555 43.441111111)
Guadilla de Villamar	Point(-4.174444444 42.525277777)
Tabanera del Monte	Point(-4.066711111 40.938616666)
Hontoria	Point(-4.123777777 40.907755555)
Huergas de Gordón	Point(-5.655 42.843611111)
Navarredonda de Salvatierra	Point(-5.7475 40.654722222)
Navasequilla	Point(-5.349478 40.363611)
Aneto	Point(0.743033599 42.5545348)
Figueruela de Abajo	Point(-6.447202777 41.862077777)
Villaspesa	Point(-1.12279 40.2986)
Arasilla	Point(-0.357611111 42.436222222)
Bercianos de Aliste	Point(-6.2293 41.788011111)
Benifons	Point(0.659963 42.4679562)
Cabañas de Tera	Point(-6.044108333 42.010752777)
Castarnés	Point(0.6922799 42.4409373)
Huértalo	Point(-0.84972222 42.655)
Fosado	Point(0.251616833 42.428204833)
Rañín	Point(0.313614833 42.380164833)
Villamartín del Sil	Point(-6.520833333 42.763611111)
Villamartín del Sil	Point(-6.52 42.764444444)
Sejas de Aliste	Point(-6.4547 41.731561111)
Sarsamarcuello	Point(-0.669286 42.311022)
Islallana	Point(-2.514444444 42.325277777)
Mogátar	Point(-5.92136 41.3534)
Villavelasco de Valderaduey	Point(-4.9725 42.508611111)
Barós	Point(-0.525277777 42.5475)
Sagallos	Point(-6.413255555 41.976713888)
Las Norias de Orihuela	Point(-0.989402935 38.056751285)
Bono	Point(0.7250599 42.534975)
Calvera	Point(0.61372 42.38822)
Los Pepones	Point(-4.180833333 36.801388888)
Otero de Guardo	Point(-4.807777777 42.879444444)
Murias	Point(-6.666177777 42.141388888)
Venta de la Leche	Point(-4.2175 37.008055555)
Pantano de los Bermejales	Point(-3.889444444 36.998611111)
Villamor de Órbigo	Point(-5.875277777 42.483888888)
Villanueva-Rampalay	Point(-3.73408333 42.84141667)
Villanueva de Valdueza	Point(-6.584166666 42.489722222)
Villeza	Point(-5.201666666 42.331388888)
Villovela de Pirón	Point(-4.121825 41.113997222)
Vivar de Fuentidueña	Point(-4.007983333 41.479263888)
Picones	Point(-6.545 41.001388888)
Poblado de Alfonso XIII	Point(-6.134444444 37.166666666)
Ponjos	Point(-6.033338888 42.725513888)
Lebor	Point(-1.543398974 37.73405679)
Estet	Point(0.714024999 42.522028)
Fonchanina	Point(0.655221299 42.5106242)
Forcat	Point(0.7177976 42.5096374)
Rincón de los Reinas	Point(-4.165555555 36.9825)
Robledo de las Traviesas	Point(-6.435555555 42.717222222)
La Tejera	Point(-6.84484 41.9665)
Rubalcaba	Point(-3.738888888 43.323611111)
Navianos de Alba	Point(-5.919444444 41.742777777)
Luzás	Point(0.576979 42.155599)
Noales	Point(0.6627786 42.4585789)
Majones	Point(-0.87416667 42.6575)
Mata de Quintanar	Point(-4.111363888 41.027141666)
Pallaruelo	Point(-0.208888888 41.704722222)
Montañana	Point(0.678216833 42.161422)
Montmesa	Point(-0.655665833 42.148919833)
Las Enillas	Point(-5.836019444 41.404255555)
Huérmeda	Point(-1.59733 41.38202)
Rasgada	Point(-4.076111111 42.778055555)
Repudio	Point(-3.891388888 42.845277777)
Palazuelo de Sayago	Point(-6.2822 41.3875)
Ruijas	Point(-3.916944444 42.820555555)
Ginaste	Point(0.713642599 42.4949421)
